"HostName","ESX Version","ESX Build","CPU Usage (%)","Memory Usage (%)","Storage Usage (%)"
"psgslbesxi.rbj.co.yu","7.0.3","22348816","16.95","6.39","2.8540867738250652741514360300"
"hocoreesxi3.rbj.co.yu","7.0.3","23794027","15.12","50.99","33.448972139867457272410184860"
"hocoreesxi1.rbj.co.yu","7.0.3","23794027","18.04","32.66","33.448972139867457272410184860"
"hocoreesxi2.rbj.co.yu","7.0.3","23794027","11.76","47.35","33.448972139867457272410184860"
"hodmz1esxi4.rbj.co.yu","7.0.3","22348816","10.92","42.14","66.122663402848423194303153610"
"hodmz1esxi3.rbj.co.yu","7.0.3","22348816","25.92","43.15","66.122663402848423194303153610"
"hodmz1esxi5.rbj.co.yu","7.0.3","22348816","28.57","41.23","66.122663402848423194303153610"
"hoesxisticky3.rbj.co.yu","7.0.3","22348816","19.45","22.53","8.850375579869376793017151930"
"hoesxisticky2.rbj.co.yu","7.0.3","22348816","21.33","20.84","8.850375579869376793017151930"
"hoesxisticky1.rbj.co.yu","7.0.3","22348816","2.09","7.28","8.850375579869376793017151930"
"hotestlinesxi1.rbj.co.yu","7.0.3","23794027","32.12","38.8","13.340619849844350851492400660"
"hotestlinesxi3.rbj.co.yu","7.0.3","22348816","22.95","54.1","13.340619849844350851492400660"
"hotestlinesxi2.rbj.co.yu","7.0.3","22348816","22.28","54.03","13.340619849844350851492400660"
"hopharmwfa7.rbj.co.yu","7.0.3","22348816","17.42","24.64","42.350718747456661512167331330"
"hopharmwfa6.rbj.co.yu","7.0.3","22348816","13.14","21.59","42.350718747456661512167331330"
"hopharmwfa11.rbj.co.yu","7.0.3","22348816","16.19","24.34","42.350718747456661512167331330"
"hopharmwfa9.rbj.co.yu","7.0.3","22348816","15.6","23.56","42.350718747456661512167331330"
"hopharmwfa13.rbj.co.yu","7.0.3","22348816","12.5","30.12","42.350718747456661512167331330"
"hopharmwfa8.rbj.co.yu","7.0.3","22348816","18.2","24.77","42.350718747456661512167331330"
"hopharmwfa4.rbj.co.yu","7.0.3","22348816","16.33","29.76","42.350718747456661512167331330"
"hopharmwfa12.rbj.co.yu","7.0.3","22348816","13.07","30.21","42.350718747456661512167331330"
"hopharmwfa10.rbj.co.yu","7.0.3","22348816","18.17","34.3","42.350718747456661512167331330"
"hopharmwfa1.rbj.co.yu","7.0.3","23794027","14.55","23.74","42.350718747456661512167331330"
"hopharmwfa3.rbj.co.yu","7.0.3","22348816","15.21","24.35","42.350718747456661512167331330"
"hopharmwfa2.rbj.co.yu","7.0.3","23794027","6.85","20.64","42.350718747456661512167331330"
"hopharmwfa5.rbj.co.yu","7.0.3","22348816","16.85","19.34","42.350718747456661512167331330"
"hosqlesxi2.rbj.co.yu","7.0.3","23794027","5.55","40.51","60.147249423963133640552995390"
"hosqlesxi1.rbj.co.yu","7.0.3","23794027","8.02","35.68","60.147249423963133640552995390"
"hosqlesxi3.rbj.co.yu","7.0.3","23794027","3.17","26.81","60.147249423963133640552995390"
"hosqlesxi4.rbj.co.yu","7.0.3","22348816","4.93","44.9","60.147249423963133640552995390"
"horemoteesxi3.rbj.co.yu","7.0.3","22348816","43.92","45.22","2.2487582402490386376121589500"
"horemoteesxi4.rbj.co.yu","7.0.3","22348816","43.48","58.96","2.2487582402490386376121589500"
"horemoteesxi1.rbj.co.yu","7.0.3","22348816","46.96","51.82","2.2487582402490386376121589500"
"horemoteesxi5.rbj.co.yu","7.0.3","22348816","38.96","71.68","2.2487582402490386376121589500"
"horemoteesxi2.rbj.co.yu","7.0.3","22348816","30.17","35.14","2.2487582402490386376121589500"
"hoprodesxi6.rbj.co.yu","7.0.3","23794027","56.95","62.21","0.0218278870509964293343913100"
"hoprodesxi4.rbj.co.yu","7.0.3","23794027","55.91","59.29","0.0218278870509964293343913100"
"hoprodesxi2.rbj.co.yu","7.0.3","23794027","53.91","57.38","0.0218278870509964293343913100"
"hoprodesxi3.rbj.co.yu","7.0.3","23794027","57.57","57.48","0.0218278870509964293343913100"
"hoprodesxi1.rbj.co.yu","7.0.3","23794027","50.23","65.23","0.0218278870509964293343913100"
"hoprodesxi5.rbj.co.yu","7.0.3","23794027","42.38","45.02","0.0218278870509964293343913100"
"hoprodlinesxi1.rbj.co.yu","7.0.3","23794027","26.82","54.52","3.5397380467955239064089521900"
"hoprodlinesxi2.rbj.co.yu","7.0.3","23794027","23.32","51.86","3.5397380467955239064089521900"
"hoprodlinesxi5.rbj.co.yu","7.0.3","22348816","15","54.7","3.5397380467955239064089521900"
"hoprodlinesxi3.rbj.co.yu","7.0.3","23794027","25.09","44.94","3.5397380467955239064089521900"
"hoprodlinesxi6.rbj.co.yu","7.0.3","22348816","34.25","56.36","3.5397380467955239064089521900"
"hoprodlinesxi4.rbj.co.yu","7.0.3","23794027","33.23","39.57","3.5397380467955239064089521900"
"hotestesxi3.rbj.co.yu","7.0.3","22348816","28.33","72.56","13.340619849844350851492400660"
"hotestesxi1.rbj.co.yu","7.0.3","23794027","50.72","42.28","13.340619849844350851492400660"
"hotestesxi4.rbj.co.yu","7.0.3","22348816","38.53","69.36","13.340619849844350851492400660"
"hotestesxi5.rbj.co.yu","7.0.3","22348816","25.09","74.93","13.340619849844350851492400660"
"hotestesxi2.rbj.co.yu","7.0.3","22348816","39.13","71.21","13.340619849844350851492400660"
"hoprodwin2esxi5.rbj.co.yu","7.0.3","23794027","39.34","36","0.0218278870509964293343913100"
"hoprodwin2esxi7.rbj.co.yu","7.0.3","22348816","27.49","55.15","0.0218278870509964293343913100"
"hoprodwin2esxi2.rbj.co.yu","7.0.3","23794027","43.72","20.2","0.0218278870509964293343913100"
"hoprodwin2esxi4.rbj.co.yu","7.0.3","23794027","35.81","50.02","0.0218278870509964293343913100"
"hoprodwin2esxi3.rbj.co.yu","7.0.3","23794027","35.53","43.09","0.0218278870509964293343913100"
"hoprodwin2esxi8.rbj.co.yu","7.0.3","22348816","28.93","54.35","0.0218278870509964293343913100"
"hoprodwin2esxi9.rbj.co.yu","7.0.3","23794027","15.16","60.33","0.0218278870509964293343913100"
"hoprodwin2esxi6.rbj.co.yu","7.0.3","22348816","27.04","54.42","0.0218278870509964293343913100"
"hoprodwin2esxi1.rbj.co.yu","7.0.3","23794027","29.32","51.38","0.0218278870509964293343913100"
